City_ID,City,Country,Max Temp,Weather Description,Humidity,Cloudiness,Wind Speed,Lat,Lng,Hotel Name
3,Bredasdorp,ZA,67.32,scattered clouds,64,34,16.11,-34.5322,20.0403,Bredasdorp Country Manor
4,Barinas,VE,78.84,broken clouds,69,81,3.44,8.6226,-70.2075,Hotel Mastranto Suite
6,Lorengau,PG,84.85,overcast clouds,65,98,9.95,-2.0226,147.2712,Lorengau Harbourside Hotel
7,Sinnamary,GF,75.78,overcast clouds,88,85,8.55,5.3833,-52.95,ALETHEIA Appartement Sinnamary
13,Sao Jose Da Coroa Grande,BR,77.65,few clouds,75,15,5.7,-8.8978,-35.1478,Crôa Mares Hotel
14,Bengkulu,ID,78.24,overcast clouds,79,100,2.84,-3.8004,102.2655,Grage Hotel Bengkulu
15,Arraial Do Cabo,BR,75.49,overcast clouds,88,97,21.16,-22.9661,-42.0278,Pousada Porto Praia
17,Atuona,PF,78.78,few clouds,77,20,16.4,-9.8,-139.0333,Villa Enata
19,Rikitea,PF,78.98,clear sky,69,5,7.52,-23.1203,-134.9692,People ThankYou
20,Muli,MV,82.27,few clouds,72,17,11.21,2.9167,73.5667,Medhufushi Island Resort
22,Hithadhoo,MV,82.17,overcast clouds,74,97,12.55,-0.6,73.0833,Scoop Guest House
25,Avarua,CK,80.65,overcast clouds,78,94,13.8,-21.2078,-159.775,Paradise Inn
26,Puerto Ayora,EC,74.55,scattered clouds,93,46,1.99,-0.7393,-90.3518,Finch Bay Galapagos Hotel
27,Kapaa,US,76.12,few clouds,76,20,8.05,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
30,Hobart,AU,73.22,few clouds,60,20,11.5,-42.8794,147.3294,Mantra on Collins Hobart
31,Salalah,OM,72.28,clear sky,71,0,1.68,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
32,Grand Gaube,MU,81.0,overcast clouds,83,100,11.01,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
34,Coquimbo,CL,64.13,clear sky,82,0,2.3,-29.9533,-71.3436,Hostel Del Puerto
37,Acapulco,MX,73.38,clear sky,79,0,3.74,16.8634,-99.8901,HS Hotsson Smart Acapulco
42,Port Alfred,ZA,69.4,light rain,84,96,11.9,-33.5906,26.891,The Halyards Hotel
44,Santa Cruz,BO,74.66,broken clouds,94,75,11.5,-17.8,-63.1667,Aviador Hotel Boutique
45,New Norfolk,AU,72.88,overcast clouds,45,85,1.99,-42.7826,147.0587,The Shingles Riverside Cottages
51,Iquitos,PE,73.44,clear sky,100,0,2.3,-3.7481,-73.2472,Casa Morey Hotel & Restaurant
55,Touros,BR,79.7,clear sky,74,5,11.48,-5.1989,-35.4608,INN NEW HORIZON
58,Mar Del Plata,AR,67.08,light rain,85,100,1.01,-38.0023,-57.5575,Gran Hotel Mar del Plata
61,Opotiki,NZ,78.39,broken clouds,70,63,6.53,-38.0833,177.2833,Agassiz House Opotiki Backpackers
62,Garowe,SO,67.35,few clouds,44,11,6.64,8.4054,48.4845,Curubo Hotel
63,Esmeraldas,BR,71.91,overcast clouds,96,100,1.81,-19.7625,-44.3139,Bom Será - Marcinho e Fernanda
64,Pucallpa,PE,77.04,scattered clouds,94,40,3.44,-8.3791,-74.5539,Hospedaje Komby
66,Auki,SB,84.0,overcast clouds,74,91,7.96,-8.7676,160.7034,Auki Motel
69,Airai,TL,68.45,overcast clouds,82,95,3.36,-8.9266,125.4092,
77,East London,ZA,65.34,broken clouds,94,75,2.3,-33.0153,27.9116,Tu Casa
78,Tautira,PF,82.42,scattered clouds,74,28,14.2,-17.7333,-149.15,Pension Oaoa
79,Sao Filipe,CV,72.57,clear sky,72,0,12.28,14.8961,-24.4956,Hotel Xaguate
83,Maldonado,UY,65.59,broken clouds,96,74,0.89,-34.6667,-54.9167,La Cimarrona
84,Vaini,TO,77.16,light rain,94,100,18.41,-21.2,-175.2,Keleti Beach Resort
86,The Valley,AI,75.09,overcast clouds,75,100,15.84,18.217,-63.0578,CeBlue Villas & Beach Resort
91,Hilo,US,73.8,scattered clouds,87,40,5.75,19.7297,-155.09,Hilo Hawaiian Hotel
102,Butaritari,KI,82.78,light rain,78,49,18.68,3.0707,172.7902,Isles Sunset Lodge
109,Iaciara,BR,71.31,overcast clouds,91,97,2.04,-14.0958,-46.6317,Hotel Matinha
110,Port Elizabeth,ZA,67.1,overcast clouds,94,100,1.14,-33.918,25.5701,39 On Nile Guest House
113,Bida,NG,68.95,clear sky,15,0,3.65,9.0833,6.0167,Royal Suite
114,Caravelas,BR,75.06,overcast clouds,91,100,4.97,-17.7125,-39.2481,Pousada dos Navegantes
116,Buala,SB,84.16,light rain,77,100,9.26,-8.145,159.5921,Maringe Lagoon Lodge
118,Isangel,VU,77.11,light intensity drizzle,94,100,3.44,-19.55,169.2667,Tanna Lodge
119,Thai Binh,VN,62.6,overcast clouds,60,99,4.76,20.45,106.3333,Sweden Hotel
122,Dwarka,IN,72.54,few clouds,52,11,9.4,22.2394,68.9678,Hotel Narayan Avezika Comfort
124,Ulladulla,AU,74.3,scattered clouds,69,46,14.14,-35.35,150.4667,Sandpiper Motel
125,Nouakchott,MR,67.93,clear sky,34,0,9.04,18.0858,-15.9785,HOTEL IMAN
127,Kalangala,UG,65.55,overcast clouds,62,100,5.95,-0.3089,32.225,Ssese Habitat Resort
129,Kalmunai,LK,80.67,broken clouds,65,66,4.92,7.4167,81.8167,VS Villa
130,Tecoanapa,MX,72.66,clear sky,80,0,5.23,16.5167,-98.75,Hotel Manglares
131,Hermanus,ZA,64.8,clear sky,76,0,18.48,-34.4187,19.2345,Misty Waves Boutique Hotel
132,Qui Nhon,VN,75.33,broken clouds,84,76,20.07,13.7667,109.2333,Hoang Yen Canary Hotel
139,Castro,BR,64.24,broken clouds,98,79,4.5,-24.7911,-50.0119,CHACARA BAILLY
140,Tefe,BR,71.78,moderate rain,99,100,2.08,-3.3542,-64.7114,Aracati Hotel
142,Tchaourou,BJ,68.27,clear sky,20,1,3.6,8.8865,2.5975,SAFIR HOTEL
146,Catuday,PH,80.42,broken clouds,65,55,8.66,16.2923,119.8062,Benjie's Kubo & Cottages
149,Whitianga,NZ,77.02,scattered clouds,78,45,9.98,-36.8333,175.7,Beachside Resort Whitianga
150,Abu Dhabi,AE,64.96,clear sky,74,1,1.99,24.4667,54.3667,Ramee Garden Hotel Apartments
154,Mahebourg,MU,80.89,broken clouds,83,75,19.57,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
156,Quatre Cocos,MU,81.09,light rain,85,99,19.48,-20.2078,57.7625,Sunrise Attitude Hotel
158,Oistins,BB,75.29,few clouds,69,20,10.36,13.0667,-59.5333,Butterfly Beach Hotel
160,Sabang,ID,81.61,broken clouds,77,62,18.45,5.8933,95.3214,Hotel Citra
162,Cape Town,ZA,65.88,clear sky,68,0,1.99,-33.9258,18.4232,Southern Sun Waterfront Cape Town
163,Santa Maria,BR,72.72,broken clouds,89,76,2.59,-29.6842,-53.8069,Hotel Morotin
164,San Pedro De Lloc,PE,70.11,overcast clouds,80,96,10.69,-7.4328,-79.5058,La Posada Del Valle
168,Bambous Virieux,MU,81.21,light rain,83,75,19.57,-20.3428,57.7575,Casa Tia Villa
169,Sechura,PE,70.52,scattered clouds,84,35,8.61,-5.5569,-80.8222,Hospedaje Costa Bella
170,Kavaratti,IN,77.94,broken clouds,58,81,4.79,10.5669,72.642,Hotels in Lakshadweep Islands
173,Kavieng,PG,83.95,broken clouds,71,83,8.93,-2.5744,150.7967,Nusa Island Retreat
175,Makakilo City,US,74.95,broken clouds,72,75,3.44,21.3469,-158.0858,Marriott's Ko Olina Beach Club
178,Hirara,JP,64.26,broken clouds,63,75,14.97,24.8,125.2833,Hotel Atoll Emerald Miyakojima
180,Chuy,UY,68.04,scattered clouds,94,44,3.76,-33.6971,-53.4616,Nuevo Hotel Plaza
181,Hidrolandia,BR,72.09,scattered clouds,96,27,3.04,-4.4081,-40.4378,Camping Pedra do Tatu - Fazenda Alves
184,Warrnambool,AU,77.81,overcast clouds,60,100,21.16,-38.3833,142.4833,Lady Bay Resort
185,Mayumba,GA,75.56,overcast clouds,84,100,3.78,-3.432,10.6554,LIKWALE LODGE
186,Te Anau,NZ,63.18,clear sky,43,3,5.77,-45.4167,167.7167,Kingsgate Hotel Te Anau
187,Harper,LR,77.79,light rain,84,79,4.45,4.375,-7.7169,Screensaver
188,Pakxan,LA,81.75,broken clouds,37,81,4.36,18.3778,103.6601,Kong Kham Pheng Guesthouse
190,Trinidad,BO,73.83,overcast clouds,94,92,5.03,-14.8333,-64.9,Hotel Piesta
195,Sur,OM,74.75,clear sky,35,6,7.36,22.5667,59.5289,Sur Plaza Hotel
199,Alice Springs,AU,80.15,clear sky,28,0,14.97,-23.7,133.8833,Desert Palms Alice Springs
200,Monywa,MM,74.44,overcast clouds,39,88,3.62,22.1167,95.1333,Monywa Hotel
201,Kirakira,SB,84.79,overcast clouds,75,98,8.68,-10.4544,161.9205,SanBiz Lodge
202,Doha,QA,66.18,clear sky,77,0,8.05,25.2867,51.5333,Movenpick Hotel Doha
209,Flinders,AU,74.48,broken clouds,66,58,13.0,-34.5833,150.8552,Shellharbour Resort & Conference Centre
211,Port Lincoln,AU,74.35,clear sky,54,6,10.63,-34.7333,135.8667,Port Lincoln Hotel
213,Yambio,SS,71.4,overcast clouds,30,100,2.53,4.5721,28.3955,Naivasha Hotel
214,Ponta Do Sol,PT,65.71,broken clouds,71,84,4.88,32.6667,-17.1,Hotel do Campo
218,Belmonte,BR,79.3,overcast clouds,89,100,6.89,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
223,Cabo San Lucas,MX,62.94,clear sky,70,0,1.66,22.8909,-109.9124,Hotel Tesoro Los Cabos
225,Cockburn Town,TC,75.83,clear sky,74,0,17.2,21.4612,-71.1419,Osprey Beach Hotel
227,Alofi,NU,76.89,overcast clouds,94,100,5.75,-19.0595,-169.9187,Taloa Heights
229,Boa Vista,BR,80.58,clear sky,69,0,8.05,2.8197,-60.6733,Aipana Plaza Hotel
230,Phalaborwa,ZA,70.86,broken clouds,79,64,12.44,-23.943,31.1411,Bothabelo Bed and Breakfast
235,Homestead,US,73.0,clear sky,94,0,0.0,25.4687,-80.4776,Travelodge by Wyndham Florida City/Homestead/Everglades
238,Rio Grande,BR,73.51,scattered clouds,94,40,7.0,-32.035,-52.0986,Hotel Atlântico Rio Grande
242,Kulhudhuffushi,MV,81.19,broken clouds,65,54,9.69,6.6221,73.07,Haajy Guest House 1
246,Tucuman,AR,68.0,broken clouds,88,62,10.36,-26.8241,-65.2226,Dallas Hotel Tucuman
248,Nsanje,MW,73.15,overcast clouds,90,100,1.57,-16.92,35.262,Nsanje Discovery Lodge
257,Marzuq,YE,70.39,clear sky,23,1,3.06,14.4,46.4667,
258,Ixtapa,MX,64.63,clear sky,84,6,1.83,20.7,-105.2,Hotel Plaza Providencia
259,Mitsamiouli,KM,82.69,light rain,83,75,12.66,-11.3847,43.2844,Foyer ADM
264,Voh,NC,81.68,heavy intensity rain,81,100,9.31,-20.9667,164.7,Le gîte du Koniambo
267,Tomatlan,MX,64.22,clear sky,83,2,1.54,19.9333,-105.25,El Salvial
272,Coxim,BR,74.39,overcast clouds,88,91,2.98,-18.5067,-54.76,Hotel Avenida
276,Laguna De Perlas,NI,75.4,few clouds,83,24,9.22,12.3429,-83.6712,Hotel Best View
278,Cayenne,GF,79.09,light rain,86,75,7.0,4.9333,-52.3333,Hôtel Le Dronmi
280,Sola,VU,82.51,overcast clouds,78,100,22.15,-13.8833,167.55,Leumerus Bungalows
284,Mbandaka,CD,70.84,overcast clouds,70,100,3.96,0.0487,18.2603,Guest House Epervier
285,La Brea,HN,71.89,scattered clouds,94,28,1.32,15.8,-85.9667,Hotel reynita
291,Katherine,AU,80.92,light rain,78,81,6.91,-14.4667,132.2667,Pine Tree Motel
292,Maumere,ID,83.14,broken clouds,78,81,11.81,-8.6199,122.2111,Sylvia Hotel
295,Kloulklubed,PW,81.79,scattered clouds,81,40,19.6,7.0419,134.2556,Storyboard Beach Resort
297,Manggar,ID,81.88,overcast clouds,75,100,7.05,-2.8833,108.2667,Guest Hotel
298,Mtambile,TZ,79.09,light rain,84,100,11.72,-5.3833,39.7,
300,Ardakan,IR,62.98,broken clouds,43,64,11.43,32.31,54.0175,Ardakan Hotel
301,Faanui,PF,80.64,light rain,75,75,13.56,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
307,Souillac,MU,81.36,light rain,83,75,19.57,-20.5167,57.5167,Shanti Maurice Resort & Spa
312,Eyl,SO,74.84,scattered clouds,63,40,12.97,7.9803,49.8164,Amiin Hotel
313,Linhares,BR,72.28,overcast clouds,96,100,3.44,-19.3911,-40.0722,Hotel Conceição
314,Itarema,BR,78.48,moderate rain,81,54,10.85,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
315,Remanso,BR,78.1,overcast clouds,60,96,6.29,-9.6179,-42.0831,Hotel Mangueira
319,Acajutla,SV,78.01,scattered clouds,72,37,9.06,13.5928,-89.8275,Laureles
320,Bang Saphan,TH,75.15,broken clouds,56,64,7.74,11.2126,99.5117,Ladawan Boutique Hotel
321,Bani,DO,70.75,clear sky,76,4,12.75,18.2833,-70.3333,Hospedaje Henriquez
322,Saint-Philippe,RE,83.79,moderate rain,89,100,24.61,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
332,Vila Velha,BR,75.15,few clouds,96,20,1.01,-20.3297,-40.2925,Quality Suites Vila Velha
342,Simao,CN,68.43,clear sky,53,0,7.87,22.7886,100.9748,Changyu Hotel
345,Atar,MR,66.83,few clouds,12,21,5.61,20.5169,-13.0499,Oumou Elghoura
348,Lethem,GY,76.08,overcast clouds,79,99,9.73,3.3803,-59.7968,Savannah Inn
351,Ewa Beach,US,74.98,few clouds,73,20,5.01,21.3156,-158.0072,Uncle Junior Robert
355,Meulaboh,ID,84.99,overcast clouds,64,87,4.56,4.1363,96.1285,Kost Pria
357,Puerto Carreno,CO,80.71,broken clouds,58,80,3.47,6.189,-67.4859,Casa Hotel Victoria
358,Muisne,EC,76.5,overcast clouds,83,93,5.14,0.6,-80.0333,Quinta Samay
360,Carupano,VE,74.32,clear sky,87,3,8.59,10.6678,-63.2585,Hotel La dorada
361,Sao Joao Da Barra,BR,75.13,overcast clouds,87,98,15.75,-21.6403,-41.0511,Pousada Porto De Canoas
362,Barra Do Garcas,BR,73.0,broken clouds,91,54,0.34,-15.89,-52.2567,Pousada Tropical
363,Kupang,ID,84.24,few clouds,74,24,11.7,-10.1667,123.5833,Hotel On The Rock by Prasanthi
365,Gamba,GA,74.95,overcast clouds,87,98,4.23,-2.65,10.0,
367,Bria,CF,66.85,broken clouds,30,64,4.16,6.5423,21.9863,WFP Guesthouse
369,Saint-Joseph,RE,82.78,light rain,83,99,20.87,-21.3667,55.6167,"""Plantation Bed and Breakfast"
370,Hambantota,LK,82.74,broken clouds,78,66,8.05,6.1241,81.1185,Bungalow 63
375,Hualmay,PE,69.51,broken clouds,86,60,7.76,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
383,Port Macquarie,AU,72.9,broken clouds,65,78,17.74,-31.4333,152.9167,Rydges Port Macquarie
384,Les Cayes,HT,73.71,clear sky,77,7,4.32,18.2,-73.75,Villa Orphee
386,Maues,BR,71.89,light rain,96,100,2.15,-3.3836,-57.7186,Hotel Miramar
390,Kattivakkam,IN,84.29,broken clouds,81,64,4.94,13.2167,80.3167,Euronova Freezer
398,San Isidro,PE,68.5,overcast clouds,53,100,1.01,-12.1167,-77.05,Soul Mate-Inn
402,Fuerte Olimpo,PY,79.47,few clouds,65,21,6.15,-21.0415,-57.8738,Hospedaje DAMI
408,Lavras,BR,67.14,overcast clouds,95,100,1.86,-21.2453,-44.9997,Hotel Ouro Lavras
411,Grabouw,ZA,62.38,clear sky,80,0,11.39,-34.1515,19.0151,Belfield Wines and Farm Cottages
412,Lakatoro,VU,80.31,overcast clouds,88,100,21.63,-16.0999,167.4164,Lakatoro Palm Lodge
413,Puerto Escondido,MX,77.83,clear sky,78,0,0.0,15.85,-97.0667,Aldea del Bazar Hotel and Spa
414,Maroantsetra,MG,80.04,overcast clouds,74,100,6.69,-15.4333,49.7333,Annexe Vatsy Hôtel
416,Cabedelo,BR,78.51,clear sky,77,6,9.57,-6.9811,-34.8339,Hotel Pigalle
419,Cidreira,BR,72.0,clear sky,93,10,3.83,-30.1811,-50.2056,Hotel Castelo
423,Khudumelapye,BW,69.06,overcast clouds,76,88,8.55,-23.8833,24.75,
425,Sojat,IN,68.59,clear sky,23,0,1.7,25.9167,73.6667,HOTEL SUNRISE & BAR
430,Dingle,PH,82.47,broken clouds,70,83,18.01,10.9995,122.6711,SEGAYA PROPERTY
431,Celestun,MX,73.47,scattered clouds,90,38,19.06,20.8667,-90.4,Posada Lilia
432,Wawa,NG,69.78,clear sky,25,0,4.18,9.9022,4.4192,
439,Wanning,CN,67.53,overcast clouds,81,100,12.03,18.8003,110.3967,Paradise Hotel
440,Mangrol,IN,70.97,few clouds,50,13,3.33,21.1167,70.1167,Hotel The Royal Honours
441,Santa Vitoria Do Palmar,BR,68.49,scattered clouds,95,41,4.29,-33.5189,-53.3681,Hostel Comodoro
448,Micheweni,TZ,80.62,overcast clouds,80,99,5.35,-4.9667,39.8333,
449,Nizwa,OM,69.87,clear sky,29,5,2.17,22.9333,57.5333,Orient Apartments
455,Prata,BR,70.74,broken clouds,89,78,1.5,-19.3072,-48.9242,Hotel Pontal Aluga-se Quitinetes e suítes mensalmente
457,Ballina,AU,71.78,broken clouds,81,75,14.97,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
458,Victoria,HK,64.04,broken clouds,70,66,1.01,22.2855,114.1577,Mini Hotel Central
462,Podor,MR,71.56,clear sky,10,0,9.19,16.6527,-14.9587,Auberge Du Tékrour
464,Pisco,PE,67.01,clear sky,88,0,0.0,-13.7,-76.2167,Hotel San Isidro Oficial
465,Coruripe,BR,77.23,few clouds,78,19,8.23,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
466,Kingston,JM,73.15,clear sky,80,8,1.01,17.997,-76.7936,The Jamaica Pegasus Hotel
468,Honolulu,US,74.86,clear sky,77,9,5.01,21.3069,-157.8583,Aston at the Executive Centre Hotel
472,Saint-Pierre,RE,83.88,overcast clouds,65,99,3.44,-21.3393,55.4781,Lindsey Hôtel
473,Pamanukan,ID,82.09,broken clouds,79,83,13.27,-6.2842,107.8106,Paris Day Hotel Pamanukan
476,Kabalo,CD,66.76,overcast clouds,96,100,2.71,-6.05,26.9167,
477,Isiro,CD,66.54,overcast clouds,73,94,1.72,2.7739,27.616,Guest House Hewa Bora
481,Barra Patuca,HN,76.41,clear sky,84,10,6.87,15.8,-84.2833,
483,Tingo Maria,PE,68.54,broken clouds,94,57,1.72,-9.2895,-76.0088,Hospedaje Paraíso
488,Acarau,BR,78.22,moderate rain,83,37,11.01,-2.8856,-40.12,castelo pizzaria
490,Sao Felix Do Xingu,BR,70.74,broken clouds,95,77,1.5,-6.6447,-51.995,Rio Xingu Camping
493,Indramayu,ID,82.04,overcast clouds,77,89,14.52,-6.3264,108.32,Grand Trisula Hotel
495,Bombay,IN,76.98,smoke,36,46,3.44,19.0144,72.8479,Hotel Avon Ruby-Dadar
509,Nouadhibou,MR,65.79,few clouds,66,13,12.84,20.931,-17.0347,El Medina
510,Prado,BR,75.22,overcast clouds,91,100,6.93,-17.3411,-39.2208,INN CORNER RIVER - PRADO - BAHIA - HOUSING AND HOTEL
513,Manaure,CO,75.51,clear sky,82,0,11.65,11.7751,-72.4445,Hotel Palaaima
518,Tsabong,BW,73.67,scattered clouds,54,25,8.79,-26.0217,22.401,Springbok Motel
520,Dabakala,CI,69.85,clear sky,17,1,2.17,8.3667,-4.4333,Hôtel Campement
521,Ndende,GA,70.2,light rain,99,100,0.34,-2.4008,11.3581,
522,Minna,NG,71.02,clear sky,12,0,10.07,9.6139,6.5569,Royal Park hotel & suites
524,San Policarpo,PH,81.05,overcast clouds,76,97,19.04,12.1791,125.5072,Agapita M. Nicart
527,Solenzo,BF,65.7,few clouds,16,16,7.18,12.1833,-4.0833,
528,Nishihara,JP,62.65,scattered clouds,51,40,17.27,26.1842,127.7558,Minshuku Agaihama
530,Inhapim,BR,70.39,light rain,99,100,3.18,-19.5492,-42.12,Sitio cantinho da Zaza
536,Manyana,BW,68.79,broken clouds,75,65,7.63,-23.4,21.7167,
537,Chicama,PE,70.83,broken clouds,76,66,5.26,-7.8447,-79.1469,Balihai Bungalows
538,Gelemso,ET,63.16,clear sky,12,4,4.29,8.8167,40.5167,Colele kebeber
540,Saint-Louis,SN,71.11,clear sky,10,0,9.53,16.3333,-15.0,
544,Quelimane,MZ,76.03,scattered clouds,80,38,6.64,-17.8786,36.8883,Hotel Flamingo
545,Tiznit,MA,62.11,overcast clouds,31,100,3.85,29.5833,-9.5,
549,Bundaberg,AU,78.76,broken clouds,57,70,20.02,-24.85,152.35,Takalvan Motel
551,Tucupita,VE,69.33,clear sky,96,6,3.22,9.0622,-62.051,Hotel Tucupita Su​ite C.A.
552,Alta Floresta,BR,70.57,scattered clouds,97,39,1.72,-9.8756,-56.0861,Floresta Amazonica Hotel
553,Siguiri,GN,67.69,clear sky,18,0,3.58,11.6667,-9.5,
556,Sungaipenuh,ID,75.2,overcast clouds,69,100,0.96,-2.0833,101.3833,penginapan citra alam
558,Sigli,ID,83.73,broken clouds,68,70,5.44,5.3848,95.9609,Losmen Dua Mali
567,Mount Gambier,AU,74.21,broken clouds,46,58,14.2,-37.8333,140.7667,The Commodore
570,Codrington,AU,69.3,overcast clouds,58,99,20.67,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
577,Balud,PH,81.75,overcast clouds,77,93,16.89,10.1476,123.6953,Pulchra Resort
578,Warri,NG,76.44,clear sky,91,2,0.31,5.5167,5.75,BON Hotel Delta
581,Baracoa,CU,73.54,overcast clouds,78,92,10.8,20.3467,-74.4958,Hostal Rio Miel
586,Kirando,TZ,69.94,overcast clouds,81,100,3.04,-7.4167,30.6,Lakeshore Lodge
588,Chone,EC,73.22,broken clouds,91,72,2.19,-0.6833,-80.1,Ciudadela Gonzalez
589,Punta Cardon,VE,76.8,clear sky,80,6,16.58,11.6581,-70.215,Bambuda hotel
591,Saint-Georges,GD,76.69,clear sky,72,1,10.74,12.0564,-61.7485,Radisson Grenada Beach Resort
592,Beloha,MG,81.54,scattered clouds,67,34,18.25,-25.1667,45.05,
595,Santa Fe,AR,74.01,scattered clouds,82,37,4.0,-31.6333,-60.7,Conquistador Hotel
596,Richards Bay,ZA,71.42,light rain,90,100,14.47,-28.783,32.0377,BON Hotel Waterfront Richards Bay
597,Cabanas,CU,73.87,clear sky,87,0,3.49,22.9758,-82.9219,Villa Luis Montesino y Anabel
601,Taunggyi,MM,73.42,clear sky,35,5,16.08,20.7833,97.0333,True Treasure Hotel
607,Gopalpur,IN,76.42,scattered clouds,30,37,11.23,19.2667,84.9167,Gopalpur Palm Resort
608,Poum,NC,81.48,overcast clouds,75,97,14.07,-20.2333,164.0167,
610,Inirida,CO,72.99,scattered clouds,94,49,3.24,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
612,Nelson Bay,AU,77.05,light rain,69,25,4.0,-32.7167,152.15,Mantra Nelson Bay
614,Alyangula,AU,75.33,overcast clouds,91,100,3.94,-13.8483,136.4192,Groote Eylandt Lodge
615,Kisangani,CD,70.38,overcast clouds,87,100,2.33,0.5167,25.2,Grand Ramela Hotel
618,Odienne,CI,67.51,scattered clouds,19,38,2.57,9.51,-7.5692,Oustaz Vame DIAKITE
619,Marawi,PH,74.64,broken clouds,53,67,8.01,7.9986,124.2928,Derogongan Residence
620,Mahibadhoo,MV,81.95,few clouds,69,19,9.31,3.7833,72.9667,Omadhoo Inn
621,Kruisfontein,ZA,65.88,broken clouds,79,78,3.62,-34.0033,24.7314,Oyster Bay House Rental
622,Pimentel,PE,69.78,broken clouds,85,61,10.83,-6.8367,-79.9342,Casona Del Muelle
625,Saquena,PE,71.76,overcast clouds,97,100,1.28,-4.6667,-73.5167,
626,Oussouye,SN,69.89,clear sky,55,0,4.83,12.485,-16.5469,Auberge du Routard
627,Presidencia Roque Saenz Pena,AR,71.35,overcast clouds,97,100,4.47,-26.7852,-60.4388,Hotel Gualok
632,Kerouane,GN,67.08,broken clouds,19,61,2.37,9.2667,-9.0167,
635,Mandera,KE,79.16,broken clouds,23,69,9.13,3.9366,41.867,Mwalimu Guest mandera
636,Maceio,BR,74.64,scattered clouds,88,40,2.3,-9.6658,-35.7353,Poutur Pousada
643,Miandrivazo,MG,80.06,broken clouds,80,65,4.07,-19.5167,45.4667,Hôtel Arc En Ciel Miandrivazo
647,Pochutla,MX,76.05,clear sky,71,0,4.05,15.7432,-96.4661,Hotel Posada San Jose
648,Poli,TZ,64.33,overcast clouds,67,100,1.1,-3.3333,36.8,Urafiki House
649,Santa Isabel Do Rio Negro,BR,72.7,light rain,99,100,0.78,-0.4139,-65.0192,Hotel GSA
650,Lingao,CN,63.18,overcast clouds,76,100,17.4,19.9103,109.6859,Lingao Ditai Inn
653,Bowen,AU,84.56,overcast clouds,61,88,19.28,-20.0167,148.2333,Castle Motor Lodge Motel
654,Kaniama,CD,63.27,overcast clouds,96,100,2.53,-7.5667,24.1833,
657,Champerico,GT,80.35,clear sky,72,4,0.47,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
659,Trincomalee,LK,78.28,clear sky,72,10,4.16,8.5711,81.2335,Welcombe Hotel
660,Contramaestre,CU,71.08,clear sky,88,2,0.6,20.2978,-76.2414,Hotel Caribeño
661,Samarai,PG,84.54,overcast clouds,76,95,9.6,-10.6167,150.6667,Nuli Sapi
663,Bealanana,MG,65.64,light rain,97,100,3.58,-14.55,48.7333,
666,Kedougou,SN,72.37,clear sky,16,0,3.33,12.5579,-12.1743,Relais de Kédougou
671,Yendi,GH,70.59,clear sky,17,1,5.28,9.4427,-0.0099,Eyarro Lodge
673,Nambucca Heads,AU,75.2,overcast clouds,61,94,18.43,-30.65,153.0,Marcel Towers Holiday Apartments
674,Bandarbeyla,SO,75.47,clear sky,66,0,6.53,9.4942,50.8122,JABIR HOTEL
675,San Cristobal,VE,69.98,broken clouds,92,52,3.0,7.7669,-72.225,Posada Villaven C.A.
680,Nampula,MZ,72.3,overcast clouds,88,100,2.89,-15.1165,39.2666,BUTIK Hotel
681,Porto Novo,BJ,74.1,clear sky,90,1,2.62,6.4965,2.6036,Tour Eiffel Hotel Benin
683,Kuching,MY,84.42,scattered clouds,74,40,6.91,1.55,110.3333,The Ranee Boutique Suites
684,Coromandel,BR,66.16,broken clouds,92,84,0.92,-18.4733,-47.2003,Hotel Dona Adélia
685,Thinadhoo,MV,82.04,overcast clouds,70,100,11.5,0.5333,72.9333,
686,Poya,NC,82.8,moderate rain,79,100,10.31,-21.35,165.15,
687,Diamantino,BR,71.78,scattered clouds,92,28,2.89,-14.4086,-56.4461,Hotel Delta
691,Saint-Leu,RE,83.26,light rain,76,100,8.1,-21.15,55.2833,La Caz Oceane
694,Gushikawa,JP,62.6,broken clouds,49,75,16.11,26.3544,127.8686,Kirari Guest House
696,Buritis,BR,71.02,overcast clouds,91,99,1.68,-15.6178,-46.4233,Hotel Rainha do Vale
698,Kismayo,SO,79.92,scattered clouds,75,46,15.1,-0.3582,42.5454,Agan-Hotel
699,Koutiala,ML,67.12,few clouds,15,16,9.46,12.3917,-5.4642,Hotel La Chaumiere
701,Morant Bay,JM,72.63,few clouds,80,18,10.94,17.8815,-76.4093,Whispering Bamboo Cove Resort
703,Jatiroto,ID,83.25,broken clouds,72,56,5.39,-7.8833,111.1167,Mushola Al Huda
